career_name,domain,paid,customer_type,product_type,physical_presence,location_specific,scale,people_interaction,manual_work,creative_output,technical_work,uniqueness_level,automation_risk,social_impact,typical_age_min
Community Manager,religion,yes,individuals,content,no,yes,small,low,no,no,yes,medium,medium,medium,24
Video Editor,technology,sometimes,platform,service,no,no,small,low,yes,no,no,high,low,high,25
Content Creator,marketing,sometimes,brands,experience,yes,no,massive,medium,yes,yes,yes,medium,low,high,26
Teacher,education,yes,platform,content,yes,yes,small,medium,yes,yes,yes,high,medium,medium,27
YouTuber,music,sometimes,platform,service,no,yes,large,medium,no,yes,no,high,high,low,17
Graphic Designer,automotive,yes,companies,experience,no,yes,small,medium,yes,yes,no,medium,medium,low,25
Journalist,entertainment,no,companies,physical,yes,no,large,low,no,no,no,low,low,high,22
NGO Worker,religion,yes,organizations,content,yes,yes,massive,high,no,yes,yes,low,medium,low,24
Content Creator,technology,no,brands,digital,no,no,massive,low,yes,yes,yes,high,medium,high,18
Graphic Designer,music,sometimes,platform,physical,yes,no,massive,medium,yes,no,yes,low,high,high,26
Architect,design,yes,organizations,physical,yes,no,small,medium,no,no,no,medium,medium,low,18
Game Designer,automotive,no,individuals,digital,yes,no,massive,high,yes,yes,no,medium,low,high,29
Podcast Host,entertainment,yes,organizations,service,sometimes,no,massive,low,no,no,no,low,medium,high,17
Social Media Influencer,social media,sometimes,companies,content,yes,no,medium,low,yes,yes,yes,low,low,low,21
Sound Engineer,entertainment,no,brands,physical,sometimes,no,medium,medium,no,yes,yes,high,low,high,30
Church Choir Member,marketing,yes,individuals,digital,sometimes,yes,massive,low,no,yes,no,low,high,medium,29
Architect,music,sometimes,companies,experience,sometimes,yes,massive,high,yes,yes,no,high,medium,low,21
Game Designer,entertainment,no,brands,physical,sometimes,yes,small,medium,yes,yes,yes,low,high,high,15
Product Manager,marketing,yes,platform,content,yes,no,small,high,yes,yes,no,medium,medium,medium,27
Video Editor,religion,sometimes,organizations,digital,sometimes,no,massive,high,no,no,no,medium,medium,medium,21
Vehicle Armoring Specialist,non-profit,yes,organizations,digital,no,no,large,low,yes,yes,yes,low,low,high,30
Game Designer,non-profit,yes,brands,service,yes,no,medium,high,yes,yes,yes,high,medium,high,30
Sound Engineer,music,sometimes,individuals,content,no,yes,medium,low,yes,no,no,medium,low,low,26
Teacher,religion,sometimes,platform,content,no,yes,large,high,yes,no,no,low,low,high,28
Software Developer,marketing,yes,individuals,service,no,yes,large,medium,yes,no,no,medium,medium,medium,27
Architect,social media,sometimes,platform,content,no,no,massive,low,yes,yes,yes,high,high,low,21
Fashion Model,marketing,sometimes,individuals,experience,sometimes,yes,large,high,yes,yes,yes,low,medium,low,20
Church Choir Member,social media,yes,companies,digital,yes,yes,medium,low,yes,yes,yes,medium,medium,medium,30
Social Media Influencer,technology,sometimes,organizations,service,sometimes,yes,medium,low,no,no,no,low,high,high,21
Software Developer,religion,yes,organizations,service,no,yes,small,low,no,no,yes,medium,medium,low,20
Architect,marketing,no,companies,physical,yes,no,small,medium,no,yes,no,high,low,high,22
Event Coordinator,religion,no,organizations,digital,yes,yes,large,high,no,no,no,low,medium,medium,17
YouTuber,music,yes,brands,physical,no,no,medium,high,no,no,yes,medium,low,low,26
Fashion Model,religion,sometimes,organizations,service,sometimes,no,massive,medium,yes,no,yes,high,high,medium,22
Game Designer,non-profit,no,individuals,service,yes,yes,massive,low,yes,no,no,high,medium,low,15
Teacher,music,no,platform,experience,yes,yes,large,low,no,no,yes,medium,high,low,15
Data Analyst,entertainment,no,companies,content,no,no,large,medium,no,no,yes,low,high,high,25
Civil Engineer,non-profit,sometimes,brands,physical,no,yes,large,medium,no,no,yes,high,medium,high,18
Product Manager,design,yes,platform,physical,yes,yes,small,low,yes,yes,yes,high,high,high,16
Event Coordinator,marketing,sometimes,platform,physical,sometimes,no,massive,high,no,yes,yes,high,medium,medium,14
Graphic Designer,entertainment,sometimes,organizations,experience,sometimes,yes,large,medium,yes,yes,yes,low,low,high,17
Community Manager,automotive,yes,brands,content,no,no,medium,medium,yes,yes,no,low,low,medium,20
Interior Designer,design,sometimes,companies,physical,sometimes,no,small,low,yes,no,no,medium,medium,high,21
Fashion Model,music,sometimes,organizations,content,sometimes,yes,large,low,no,no,no,low,medium,high,26
Social Media Influencer,technology,no,companies,physical,yes,no,massive,high,yes,yes,yes,low,medium,medium,18
Photographer,social media,yes,platform,physical,yes,yes,large,medium,yes,no,no,high,medium,low,16
Product Manager,entertainment,yes,companies,content,sometimes,yes,medium,high,yes,yes,yes,medium,medium,low,19
Journalist,automotive,sometimes,companies,digital,yes,yes,small,low,no,no,no,high,high,low,16
Podcast Host,automotive,sometimes,brands,service,no,yes,large,low,no,yes,yes,medium,medium,high,13
Architect,music,no,companies,physical,no,yes,small,high,no,no,yes,low,low,high,13
Mechanical Technician,design,sometimes,brands,content,sometimes,no,massive,medium,yes,yes,no,low,high,low,26
Graphic Designer,automotive,sometimes,platform,digital,yes,no,medium,medium,no,yes,no,low,high,high,17
Podcast Host,technology,sometimes,brands,content,yes,no,large,medium,yes,no,no,low,medium,low,14
Teacher,automotive,yes,platform,digital,no,no,medium,low,yes,yes,yes,medium,high,high,29
Church Choir Member,social media,sometimes,companies,service,no,yes,small,high,no,yes,yes,medium,medium,high,29
Mechanical Technician,marketing,yes,individuals,digital,no,yes,large,high,yes,yes,yes,low,high,medium,17
Sound Engineer,social media,no,platform,physical,yes,no,medium,low,yes,yes,yes,medium,medium,medium,29
Social Media Influencer,music,sometimes,brands,content,yes,no,medium,low,yes,no,yes,medium,medium,medium,15
Event Coordinator,automotive,no,brands,content,yes,yes,large,high,no,no,yes,high,low,high,22
Church Choir Member,non-profit,yes,companies,digital,no,yes,medium,low,no,no,yes,low,medium,medium,20
YouTuber,marketing,sometimes,companies,experience,yes,no,large,medium,no,no,yes,medium,medium,low,27
Product Manager,marketing,yes,brands,physical,yes,yes,massive,low,yes,no,yes,medium,high,medium,21
Church Choir Member,social media,sometimes,platform,digital,no,no,small,high,yes,no,yes,medium,medium,low,29
Religious Youth Leader,social media,no,organizations,physical,sometimes,no,large,medium,yes,yes,no,medium,medium,medium,23
Interior Designer,marketing,sometimes,companies,physical,no,yes,large,medium,no,yes,no,high,medium,high,30
Music Producer,music,yes,companies,digital,sometimes,no,medium,low,yes,no,yes,high,low,high,27
Church Choir Member,technology,yes,companies,digital,no,no,medium,low,yes,yes,no,high,medium,high,27
Fashion Model,entertainment,yes,platform,digital,yes,no,medium,high,yes,no,no,low,medium,medium,29
Marketing Specialist,education,no,individuals,service,yes,no,massive,high,yes,yes,no,medium,high,medium,30
YouTuber,music,sometimes,platform,service,sometimes,yes,large,high,yes,yes,yes,high,medium,low,19
Data Analyst,non-profit,sometimes,brands,content,no,no,large,low,no,yes,no,medium,high,medium,29
Fashion Model,technology,sometimes,brands,service,no,no,medium,medium,no,yes,no,high,high,medium,29
YouTuber,education,yes,organizations,digital,yes,no,massive,medium,yes,no,yes,medium,low,medium,24
Event Coordinator,entertainment,yes,platform,service,no,yes,large,medium,yes,no,no,high,low,high,22
UX Designer,entertainment,yes,organizations,content,no,no,medium,medium,no,yes,no,high,high,medium,25
Photographer,non-profit,sometimes,platform,content,no,yes,large,low,yes,no,yes,low,medium,low,25
Podcast Host,technology,no,brands,service,sometimes,yes,small,medium,yes,yes,no,high,low,high,14
Game Designer,religion,no,individuals,digital,sometimes,no,small,medium,no,yes,yes,high,high,low,15
Marketing Specialist,education,no,platform,content,sometimes,yes,medium,high,no,no,no,high,medium,low,15
Marketing Specialist,non-profit,yes,individuals,content,no,yes,medium,medium,no,no,yes,medium,medium,low,25
Religious Youth Leader,non-profit,sometimes,companies,digital,no,no,massive,low,yes,yes,yes,medium,high,low,30
Journalist,social media,no,organizations,physical,sometimes,no,small,medium,no,no,no,high,medium,high,16
Data Analyst,education,yes,individuals,physical,no,yes,large,high,no,no,no,low,medium,medium,14
Podcast Host,marketing,no,organizations,content,sometimes,yes,large,high,yes,no,yes,high,high,high,28
Mechanical Technician,music,yes,brands,digital,no,yes,medium,low,yes,yes,yes,medium,medium,low,27
Data Analyst,education,no,platform,digital,no,yes,medium,high,no,no,no,medium,high,medium,23
NGO Worker,social media,yes,organizations,experience,yes,no,medium,low,no,yes,no,medium,low,medium,23
Marketing Specialist,automotive,sometimes,companies,digital,no,no,large,high,yes,yes,yes,high,high,medium,13
Software Developer,music,sometimes,platform,digital,sometimes,no,medium,low,yes,no,yes,medium,high,low,19
Film Editor,religion,no,brands,service,no,yes,medium,medium,no,yes,no,low,high,medium,16
Sound Engineer,education,no,platform,physical,no,yes,large,medium,yes,no,no,high,medium,high,17
Graphic Designer,entertainment,sometimes,companies,physical,sometimes,yes,large,low,yes,no,yes,medium,high,high,26
Music Producer,design,sometimes,organizations,experience,sometimes,yes,medium,high,yes,no,no,high,medium,medium,18
Architect,technology,sometimes,platform,content,sometimes,no,medium,low,no,no,yes,low,low,high,29
Game Designer,social media,no,companies,digital,yes,no,massive,high,no,no,yes,high,high,medium,20
Automotive Engineer,music,sometimes,brands,physical,sometimes,yes,large,high,yes,yes,no,medium,low,low,23
Podcast Host,marketing,no,brands,service,sometimes,no,medium,low,no,yes,yes,medium,high,low,30
Event Coordinator,automotive,yes,organizations,digital,no,yes,massive,low,no,yes,yes,low,medium,medium,25
Podcast Host,technology,no,organizations,content,no,no,medium,low,yes,no,yes,low,medium,low,20
Interior Designer,technology,sometimes,organizations,physical,yes,yes,large,medium,yes,yes,yes,low,low,high,22
Data Analyst,education,yes,organizations,experience,sometimes,no,massive,low,yes,no,yes,high,low,medium,17
Fashion Model,social media,sometimes,organizations,digital,yes,no,medium,medium,yes,no,no,low,high,medium,28
Vehicle Armoring Specialist,entertainment,no,platform,content,sometimes,yes,massive,medium,no,yes,yes,medium,medium,low,30
Architect,music,no,organizations,digital,yes,yes,large,medium,yes,no,no,high,low,medium,14
Automotive Engineer,non-profit,sometimes,companies,physical,yes,yes,massive,medium,no,yes,yes,high,high,high,21
Fashion Model,religion,no,companies,physical,sometimes,no,small,medium,no,no,yes,low,low,low,26
Community Manager,technology,sometimes,companies,digital,sometimes,no,massive,medium,no,no,yes,low,medium,medium,28
Social Media Influencer,education,no,organizations,service,yes,yes,massive,low,no,yes,yes,low,low,low,13
Software Developer,automotive,sometimes,brands,experience,no,no,large,medium,yes,no,no,low,medium,low,26
Fashion Model,entertainment,yes,companies,digital,no,no,large,medium,no,no,no,low,low,high,29
Podcast Host,religion,no,companies,service,yes,yes,large,high,yes,no,yes,low,low,medium,25
Data Analyst,entertainment,yes,organizations,digital,no,no,small,medium,yes,yes,no,medium,medium,low,24
UX Designer,marketing,yes,organizations,physical,no,yes,large,medium,no,no,yes,low,medium,low,18
Automotive Engineer,non-profit,sometimes,platform,physical,sometimes,yes,small,low,yes,yes,yes,high,medium,medium,22
YouTuber,non-profit,yes,companies,experience,yes,no,massive,high,yes,no,no,low,medium,high,29
Graphic Designer,automotive,no,companies,service,no,no,small,low,no,yes,no,medium,medium,high,14
Data Analyst,design,no,organizations,physical,sometimes,yes,small,low,yes,no,yes,medium,low,high,19
Photographer,music,sometimes,companies,service,no,no,medium,high,no,yes,no,low,medium,medium,14
Film Editor,entertainment,yes,individuals,digital,yes,yes,massive,high,no,no,yes,low,medium,high,26
Film Editor,social media,yes,individuals,physical,no,yes,massive,low,yes,yes,yes,medium,high,low,27
YouTuber,music,no,brands,service,no,yes,small,medium,yes,no,no,medium,low,medium,18
Civil Engineer,automotive,no,brands,digital,no,yes,small,medium,yes,yes,no,high,medium,low,27
Event Coordinator,technology,no,brands,content,no,no,medium,medium,yes,no,yes,medium,medium,low,21
Photographer,social media,no,platform,service,yes,yes,small,medium,no,yes,no,high,high,low,18
Graphic Designer,marketing,yes,organizations,service,no,no,massive,high,no,yes,yes,high,high,high,20
Photographer,non-profit,yes,platform,experience,yes,yes,medium,medium,yes,no,no,low,medium,low,18
Automotive Engineer,design,yes,brands,service,no,yes,small,medium,no,no,no,low,high,low,18
Event Coordinator,design,no,organizations,service,yes,no,medium,high,yes,yes,no,high,high,high,18
Mechanical Technician,music,no,organizations,physical,no,yes,large,high,yes,no,yes,medium,low,medium,24
Sound Engineer,education,sometimes,companies,digital,no,yes,massive,low,no,no,yes,medium,high,medium,16
Mechanical Technician,marketing,yes,companies,physical,no,no,small,high,no,no,no,low,high,low,28
Music Producer,entertainment,yes,individuals,physical,no,no,small,high,no,no,no,high,low,high,19
Social Media Influencer,automotive,no,platform,experience,yes,no,small,medium,no,yes,no,medium,high,low,20
Journalist,technology,sometimes,individuals,digital,sometimes,no,large,low,no,yes,yes,low,low,medium,14
Community Manager,design,sometimes,companies,physical,yes,no,small,high,yes,yes,no,medium,high,high,17
UX Designer,non-profit,no,brands,digital,yes,yes,large,high,no,yes,no,high,medium,medium,16
Social Media Influencer,automotive,no,companies,digital,yes,yes,large,low,no,no,no,medium,high,low,18
Film Editor,design,sometimes,companies,service,sometimes,yes,large,high,yes,no,no,medium,high,high,15
Community Manager,technology,no,individuals,digital,yes,yes,large,low,no,no,yes,low,medium,low,15
Sound Engineer,religion,yes,organizations,experience,no,yes,small,low,yes,no,yes,high,high,medium,28
Architect,technology,yes,brands,physical,yes,no,small,medium,yes,yes,no,high,high,high,21
Religious Youth Leader,design,sometimes,brands,physical,no,yes,medium,low,no,no,no,low,medium,low,19
Social Media Influencer,music,no,platform,experience,yes,no,massive,low,no,yes,yes,medium,high,medium,16
Photographer,non-profit,yes,organizations,digital,yes,yes,medium,high,yes,yes,yes,high,high,low,21
Civil Engineer,music,yes,platform,experience,yes,yes,small,low,yes,yes,yes,low,high,low,16
Photographer,marketing,yes,brands,content,sometimes,no,large,high,yes,no,yes,medium,medium,low,29
Podcast Host,religion,no,organizations,service,no,no,massive,low,yes,yes,yes,high,low,medium,30
YouTuber,marketing,no,companies,digital,yes,yes,medium,low,yes,no,yes,low,high,medium,28
Music Producer,music,sometimes,brands,experience,no,no,small,low,no,yes,yes,low,low,low,19
Mechanical Technician,marketing,yes,organizations,content,sometimes,yes,small,low,no,yes,no,medium,high,high,19
Community Manager,automotive,sometimes,organizations,content,yes,yes,medium,medium,no,no,yes,low,low,low,22
Community Manager,religion,no,platform,digital,sometimes,yes,massive,high,yes,yes,yes,low,medium,high,21
NGO Worker,automotive,yes,companies,content,yes,no,medium,medium,yes,yes,yes,medium,high,high,16
Church Choir Member,marketing,sometimes,organizations,service,sometimes,yes,small,low,no,no,no,low,medium,medium,21
Teacher,automotive,no,platform,experience,no,no,massive,low,no,no,no,low,low,low,18
Architect,religion,sometimes,organizations,experience,yes,yes,massive,medium,yes,yes,no,low,medium,medium,30
Sound Engineer,technology,yes,organizations,service,sometimes,no,small,high,no,yes,no,medium,medium,high,28
Video Editor,education,sometimes,individuals,experience,yes,no,massive,medium,no,yes,yes,low,low,high,25
Music Producer,technology,yes,companies,digital,sometimes,no,medium,high,no,yes,yes,medium,high,medium,14
Event Coordinator,marketing,yes,brands,service,sometimes,yes,small,medium,yes,yes,yes,high,low,high,17
Podcast Host,automotive,no,individuals,physical,yes,no,large,low,no,no,yes,high,medium,low,15
Content Creator,music,sometimes,organizations,content,sometimes,yes,large,high,yes,yes,no,low,medium,medium,13
Software Developer,social media,yes,companies,service,yes,yes,large,high,yes,no,no,medium,low,medium,24
Data Analyst,technology,no,organizations,experience,sometimes,no,massive,high,yes,no,yes,low,high,medium,24
Interior Designer,automotive,yes,platform,experience,sometimes,no,small,high,no,yes,no,medium,low,high,21
Religious Youth Leader,social media,sometimes,platform,digital,yes,yes,small,low,no,no,no,medium,low,low,13
Sound Engineer,non-profit,sometimes,platform,content,yes,yes,large,medium,no,no,yes,medium,high,high,15
Social Media Influencer,entertainment,yes,companies,digital,yes,no,small,medium,yes,yes,yes,high,low,low,13
UX Designer,education,yes,companies,physical,no,no,small,high,yes,no,no,medium,high,high,25
Community Manager,design,sometimes,individuals,service,yes,yes,small,medium,no,yes,yes,high,medium,low,29
Product Manager,religion,no,individuals,digital,sometimes,no,medium,medium,no,no,no,high,high,medium,20
Content Creator,marketing,no,companies,physical,yes,no,massive,high,no,no,yes,high,high,high,15
Religious Youth Leader,religion,no,companies,experience,no,yes,large,high,no,yes,no,low,high,high,14
Journalist,music,sometimes,brands,digital,yes,yes,small,high,yes,no,yes,high,medium,high,13
Civil Engineer,education,sometimes,platform,content,no,yes,large,high,yes,no,no,medium,medium,low,24
Community Manager,non-profit,no,companies,physical,sometimes,yes,small,low,no,no,no,high,low,medium,30
Interior Designer,religion,no,organizations,service,yes,no,small,high,no,yes,no,medium,medium,low,17
Software Developer,entertainment,sometimes,individuals,content,no,yes,massive,high,no,yes,yes,medium,low,low,25
Film Editor,music,sometimes,individuals,experience,sometimes,yes,massive,high,yes,yes,no,medium,high,medium,15
NGO Worker,social media,no,organizations,content,sometimes,yes,small,medium,no,no,yes,low,low,medium,25
YouTuber,religion,no,organizations,physical,sometimes,yes,large,high,yes,no,yes,low,medium,medium,21
Church Choir Member,education,sometimes,organizations,digital,sometimes,yes,large,medium,yes,no,no,high,medium,medium,22
Content Creator,automotive,yes,organizations,service,no,no,small,low,no,no,no,low,low,high,29
Church Choir Member,non-profit,no,companies,digital,sometimes,yes,massive,low,no,yes,yes,high,medium,low,19
Interior Designer,entertainment,yes,brands,content,yes,yes,small,high,no,no,no,medium,low,medium,27
Data Analyst,automotive,sometimes,individuals,physical,yes,yes,small,low,yes,yes,yes,low,medium,high,17
Church Choir Member,technology,sometimes,individuals,service,yes,yes,large,medium,yes,yes,yes,low,medium,high,26
Vehicle Armoring Specialist,technology,yes,companies,service,sometimes,yes,large,medium,no,no,yes,medium,high,low,23
Teacher,music,yes,individuals,service,sometimes,yes,medium,low,yes,no,yes,high,low,high,13
Software Developer,music,no,brands,digital,sometimes,yes,medium,low,yes,no,yes,low,high,medium,13
Game Designer,entertainment,no,brands,service,yes,yes,medium,medium,no,yes,yes,medium,medium,medium,13
Religious Youth Leader,education,yes,companies,physical,yes,yes,large,high,yes,no,no,medium,medium,medium,29
Architect,technology,no,individuals,experience,no,yes,massive,low,no,no,yes,high,medium,high,16
Religious Youth Leader,religion,yes,companies,physical,yes,no,small,low,yes,no,yes,low,high,medium,24
YouTuber,design,no,platform,experience,yes,yes,medium,medium,no,yes,yes,medium,high,high,24
Photographer,education,yes,individuals,digital,sometimes,yes,medium,high,yes,yes,no,medium,high,medium,29
UX Designer,automotive,yes,companies,service,no,no,small,medium,no,yes,no,low,medium,low,27
Social Media Influencer,religion,sometimes,platform,digital,yes,no,medium,high,yes,yes,yes,medium,medium,high,15
Fashion Model,religion,no,organizations,physical,sometimes,yes,large,high,yes,yes,no,low,high,medium,23
Product Manager,religion,no,companies,content,sometimes,yes,massive,medium,no,no,no,high,medium,high,27
Product Manager,automotive,no,individuals,physical,sometimes,no,large,medium,no,no,yes,medium,low,high,22
Journalist,religion,sometimes,individuals,content,no,no,large,high,no,yes,yes,medium,high,high,25
Church Choir Member,automotive,no,brands,digital,yes,no,small,low,yes,yes,yes,medium,low,low,26
Film Editor,non-profit,yes,platform,content,yes,yes,massive,medium,no,yes,no,high,high,high,22
Product Manager,automotive,no,companies,content,no,yes,medium,medium,yes,no,no,medium,low,medium,17
Game Designer,religion,no,platform,physical,sometimes,no,large,low,yes,no,yes,low,low,medium,15
Interior Designer,education,sometimes,organizations,physical,sometimes,no,massive,high,yes,no,yes,medium,low,high,28
Architect,non-profit,no,organizations,physical,sometimes,yes,large,medium,no,no,no,high,high,medium,22
Software Developer,automotive,yes,platform,content,no,yes,large,high,yes,no,no,medium,low,low,23
Interior Designer,automotive,no,brands,digital,sometimes,no,massive,low,no,yes,no,medium,low,low,15
Interior Designer,automotive,yes,companies,experience,yes,no,massive,medium,yes,yes,yes,low,low,high,23
Marketing Specialist,music,yes,brands,experience,yes,yes,small,low,yes,yes,no,medium,low,medium,17
Video Editor,design,no,companies,content,no,yes,large,medium,no,yes,no,low,low,low,17
Social Media Influencer,music,no,brands,physical,no,yes,large,medium,yes,yes,yes,high,low,low,28
Content Creator,technology,yes,platform,physical,yes,yes,small,high,yes,no,yes,low,high,high,20
Event Coordinator,social media,no,brands,physical,yes,yes,small,low,no,no,yes,medium,medium,low,16
Fashion Model,religion,sometimes,companies,experience,no,no,large,high,yes,yes,no,medium,medium,medium,25
Music Producer,marketing,no,individuals,digital,yes,yes,small,low,yes,yes,yes,high,low,low,18
NGO Worker,education,yes,brands,experience,no,yes,massive,high,no,yes,yes,low,medium,high,30
Civil Engineer,design,sometimes,companies,physical,yes,no,massive,medium,no,no,no,high,low,low,14
Film Editor,technology,sometimes,individuals,content,sometimes,yes,small,high,yes,yes,no,high,high,medium,26
Photographer,marketing,yes,platform,physical,no,no,massive,high,no,yes,yes,medium,medium,low,29
Interior Designer,music,sometimes,companies,content,yes,yes,massive,high,yes,yes,yes,low,high,low,26
Film Editor,design,no,brands,digital,no,no,massive,medium,yes,no,yes,high,high,low,15
Photographer,music,sometimes,individuals,digital,no,no,medium,medium,yes,no,no,medium,medium,medium,20
Mechanical Technician,automotive,no,individuals,service,yes,yes,small,medium,no,yes,no,low,high,medium,29
Civil Engineer,marketing,no,companies,experience,no,yes,small,high,no,yes,yes,high,high,high,23
Sound Engineer,music,yes,brands,content,yes,no,small,low,yes,no,no,medium,high,high,14
Vehicle Armoring Specialist,marketing,yes,companies,content,sometimes,no,large,high,yes,yes,no,high,low,medium,22
Film Editor,entertainment,yes,individuals,service,no,yes,small,medium,yes,no,no,low,low,medium,29
Film Editor,music,yes,organizations,experience,yes,yes,large,medium,no,no,no,high,medium,high,30
Community Manager,marketing,sometimes,organizations,physical,no,yes,medium,high,yes,yes,no,high,low,medium,15
Mechanical Technician,music,sometimes,individuals,content,no,no,small,low,no,yes,yes,high,medium,low,16
Content Creator,social media,yes,organizations,service,sometimes,no,massive,high,yes,no,no,low,medium,low,23
NGO Worker,marketing,no,companies,experience,no,no,medium,high,no,yes,yes,medium,medium,high,24
Software Developer,social media,sometimes,companies,physical,no,yes,large,high,yes,no,yes,medium,medium,medium,28
Photographer,automotive,no,platform,experience,yes,no,medium,high,no,no,no,low,high,high,14
Software Developer,religion,sometimes,organizations,physical,sometimes,no,small,low,yes,yes,no,low,medium,high,26
YouTuber,social media,no,organizations,digital,sometimes,yes,massive,low,no,no,no,medium,low,high,16
Community Manager,education,sometimes,brands,experience,no,yes,medium,medium,yes,no,yes,high,low,low,26
Sound Engineer,entertainment,yes,companies,service,sometimes,no,medium,low,no,yes,no,low,medium,low,30
Event Coordinator,non-profit,yes,platform,digital,yes,yes,small,medium,no,yes,yes,high,medium,medium,27
Marketing Specialist,non-profit,sometimes,individuals,digital,sometimes,no,large,low,no,no,no,high,low,low,25
NGO Worker,education,sometimes,brands,content,no,no,small,low,no,yes,no,medium,low,low,24
YouTuber,technology,sometimes,brands,digital,yes,no,large,medium,no,yes,yes,high,medium,medium,30
UX Designer,music,no,platform,digital,yes,no,medium,high,yes,yes,yes,low,low,medium,28
Music Producer,education,yes,brands,digital,yes,yes,massive,medium,yes,yes,yes,low,high,low,28
Event Coordinator,entertainment,yes,individuals,content,yes,yes,medium,medium,no,no,yes,medium,high,medium,15
Photographer,education,no,companies,physical,no,yes,massive,low,yes,no,no,low,medium,high,23
UX Designer,entertainment,sometimes,brands,content,sometimes,no,small,low,no,yes,no,high,low,high,28
Music Producer,design,yes,brands,experience,yes,yes,massive,low,yes,yes,no,high,low,low,29
Civil Engineer,marketing,no,brands,experience,yes,yes,small,medium,no,yes,no,medium,medium,high,19
Sound Engineer,non-profit,sometimes,companies,experience,no,no,medium,medium,no,yes,yes,medium,medium,low,19
Data Analyst,non-profit,sometimes,platform,digital,no,no,large,medium,yes,no,yes,high,high,high,29
Mechanical Technician,entertainment,sometimes,platform,content,no,yes,large,low,no,yes,yes,medium,high,low,28
Interior Designer,automotive,no,organizations,experience,no,no,medium,low,yes,yes,no,low,medium,low,20
NGO Worker,marketing,yes,brands,physical,sometimes,yes,large,high,no,no,yes,low,medium,low,20
Religious Youth Leader,music,yes,organizations,digital,yes,no,large,low,yes,yes,yes,medium,low,high,19
Religious Youth Leader,religion,no,individuals,digital,no,no,medium,low,yes,yes,yes,medium,medium,low,13
Religious Youth Leader,automotive,sometimes,organizations,physical,yes,yes,small,medium,yes,yes,no,high,medium,low,15
NGO Worker,entertainment,sometimes,organizations,service,yes,yes,large,low,yes,yes,yes,high,low,medium,14
Religious Youth Leader,religion,sometimes,companies,physical,no,yes,medium,low,yes,yes,yes,low,high,low,13
Content Creator,automotive,yes,brands,service,no,no,small,low,no,no,no,low,medium,high,26
Sound Engineer,religion,yes,platform,service,sometimes,no,massive,low,no,yes,no,high,high,medium,29
Data Analyst,social media,sometimes,individuals,experience,no,no,medium,high,yes,yes,no,medium,high,medium,14
Architect,design,sometimes,individuals,physical,no,yes,small,medium,yes,no,no,low,low,medium,17
Marketing Specialist,education,sometimes,platform,content,yes,yes,small,high,yes,no,yes,low,low,medium,29
Software Developer,design,yes,individuals,content,sometimes,yes,medium,medium,no,no,no,medium,low,high,13
Journalist,education,sometimes,individuals,content,no,no,small,medium,yes,yes,no,medium,low,medium,22
Fashion Model,automotive,no,organizations,content,no,yes,massive,low,yes,no,yes,medium,low,low,15
Journalist,entertainment,no,companies,experience,yes,yes,small,low,no,no,yes,high,low,medium,20
Photographer,religion,sometimes,brands,experience,sometimes,no,small,medium,no,no,yes,medium,medium,low,18
Software Developer,design,yes,companies,service,sometimes,yes,medium,high,yes,yes,yes,medium,medium,low,30
Podcast Host,marketing,sometimes,organizations,content,yes,no,large,low,yes,no,no,high,low,medium,27
Religious Youth Leader,social media,no,platform,content,no,yes,small,high,no,yes,yes,medium,medium,medium,22
Fashion Model,social media,sometimes,brands,physical,no,yes,massive,high,no,yes,yes,low,high,low,14
Product Manager,religion,sometimes,organizations,content,sometimes,no,small,medium,no,no,no,high,high,low,18
Podcast Host,social media,no,brands,service,no,yes,small,medium,yes,no,no,high,medium,high,25
Data Analyst,technology,no,platform,digital,sometimes,yes,large,low,yes,yes,no,medium,high,medium,30
Mechanical Technician,automotive,no,organizations,physical,sometimes,yes,medium,high,yes,no,no,low,low,low,17
Social Media Influencer,automotive,sometimes,individuals,digital,no,yes,large,high,yes,no,yes,medium,high,medium,29
Community Manager,technology,yes,platform,experience,yes,no,small,high,no,yes,yes,low,high,low,28
Graphic Designer,non-profit,no,platform,physical,no,no,massive,high,yes,no,yes,low,high,high,16
Journalist,marketing,no,companies,digital,no,yes,medium,medium,yes,yes,no,medium,low,low,17
Marketing Specialist,marketing,yes,companies,content,yes,no,massive,medium,yes,yes,no,low,high,high,25
Video Editor,non-profit,yes,companies,experience,sometimes,no,massive,high,no,yes,yes,high,low,high,13
NGO Worker,automotive,yes,brands,physical,no,no,medium,medium,yes,yes,no,low,low,low,30
Photographer,automotive,sometimes,brands,digital,yes,yes,massive,medium,yes,yes,yes,low,low,medium,25
Sound Engineer,marketing,no,brands,digital,no,yes,small,low,yes,yes,yes,low,high,high,25
Journalist,religion,no,brands,digital,yes,no,small,high,no,yes,no,low,low,high,16
Mechanical Technician,entertainment,no,companies,digital,sometimes,yes,medium,low,yes,yes,no,medium,medium,medium,29
Music Producer,design,no,companies,digital,yes,yes,medium,low,no,yes,no,high,low,low,23
Event Coordinator,education,sometimes,platform,content,sometimes,yes,massive,high,no,yes,yes,high,low,high,23
Photographer,education,yes,organizations,physical,sometimes,no,medium,medium,no,no,no,low,high,low,20
Fashion Model,marketing,yes,companies,service,yes,yes,small,high,yes,yes,yes,high,low,high,16
Automotive Engineer,technology,no,brands,digital,sometimes,yes,small,medium,no,no,no,high,low,low,27
Community Manager,religion,yes,platform,physical,no,no,small,low,no,yes,yes,high,medium,high,16
